person1,person2,meeting_times,meeting_information
Kanon Herrero,Marin Onda,12,"['(""Albert\'s Fine Clothing"", ""2014-01-09 12:22:27"", ""2014-01-09 13:56:01"", ""01:33:34"")', '(""White Building"", ""2014-01-10 20:10:02"", ""2014-01-10 23:33:01"", ""03:22:59"")', '(""Brew\'ve Been Served"", ""2014-01-06 19:35:15"", ""2014-01-06 21:24:01"", ""01:48:46"")', '(""Katerina\'s Café"", ""2014-01-07 19:38:01"", ""2014-01-07 19:50:01"", ""00:12:00"")', '(""Katerina\'s Café"", ""2014-01-07 19:50:01"", ""2014-01-07 20:14:01"", ""00:24:00"")', '(""Katerina\'s Café"", ""2014-01-08 12:32:23"", ""2014-01-08 13:42:01"", ""01:09:38"")', '(""Katerina\'s Café"", ""2014-01-08 19:04:04"", ""2014-01-08 20:10:01"", ""01:05:57"")', '(""Katerina\'s Café"", ""2014-01-11 18:38:02"", ""2014-01-11 19:33:01"", ""00:54:59"")', '(""Katerina\'s Café"", ""2014-01-13 19:31:02"", ""2014-01-13 20:25:01"", ""00:53:59"")', '(""Katerina\'s Café"", ""2014-01-15 18:54:02"", ""2014-01-15 20:07:01"", ""01:12:59"")', '(""Katerina\'s Café"", ""2014-01-17 19:49:59"", ""2014-01-17 19:57:01"", ""00:07:02"")', '(""Katerina\'s Café"", ""2014-01-17 19:57:01"", ""2014-01-17 20:10:01"", ""00:13:00"")']"
Brand Tempestad,Kanon Herrero,27,"['(""Albert\'s Fine Clothing"", ""2014-01-09 12:23:27"", ""2014-01-09 13:40:01"", ""01:16:34"")', '(""White Building"", ""2014-01-10 19:30:02"", ""2014-01-10 23:33:01"", ""04:02:59"")', '(""Guy\'s Gyros"", ""2014-01-06 17:43:42"", ""2014-01-06 19:06:01"", ""01:22:19"")', '(""Guy\'s Gyros"", ""2014-01-06 21:26:03"", ""2014-01-06 21:33:01"", ""00:06:58"")', '(""Guy\'s Gyros"", ""2014-01-06 21:33:01"", ""2014-01-07 07:41:01"", ""10:08:00"")', '(""Guy\'s Gyros"", ""2014-01-07 17:35:42"", ""2014-01-07 18:47:01"", ""01:11:19"")', '(""Guy\'s Gyros"", ""2014-01-07 20:21:23"", ""2014-01-08 07:34:01"", ""11:12:38"")', '(""Guy\'s Gyros"", ""2014-01-08 17:43:42"", ""2014-01-08 18:45:01"", ""01:01:19"")', '(""Guy\'s Gyros"", ""2014-01-08 20:33:02"", ""2014-01-09 07:05:01"", ""10:31:59"")', '(""Guy\'s Gyros"", ""2014-01-09 17:44:38"", ""2014-01-10 07:12:01"", ""13:27:23"")', '(""Guy\'s Gyros"", ""2014-01-10 17:26:42"", ""2014-01-10 18:53:01"", ""01:26:19"")', '(""Guy\'s Gyros"", ""2014-01-10 23:47:02"", ""2014-01-11 12:32:01"", ""12:44:59"")', '(""Guy\'s Gyros"", ""2014-01-11 19:40:00"", ""2014-01-12 12:32:01"", ""16:52:01"")', '(""Guy\'s Gyros"", ""2014-01-12 16:05:01"", ""2014-01-12 18:35:01"", ""02:30:00"")', '(""Guy\'s Gyros"", ""2014-01-12 20:21:02"", ""2014-01-13 07:15:01"", ""10:53:59"")', '(""Guy\'s Gyros"", ""2014-01-13 17:34:38"", ""2014-01-13 19:17:01"", ""01:42:23"")', '(""Guy\'s Gyros"", ""2014-01-13 20:48:01"", ""2014-01-14 07:24:01"", ""10:36:00"")', '(""Guy\'s Gyros"", ""2014-01-14 17:30:38"", ""2014-01-15 07:07:01"", ""13:36:23"")', '(""Guy\'s Gyros"", ""2014-01-15 17:30:42"", ""2014-01-15 18:52:01"", ""01:21:19"")', '(""Guy\'s Gyros"", ""2014-01-15 20:10:35"", ""2014-01-16 07:34:01"", ""11:23:26"")', '(""Guy\'s Gyros"", ""2014-01-16 17:47:42"", ""2014-01-16 18:48:01"", ""01:00:19"")', '(""Guy\'s Gyros"", ""2014-01-16 20:40:02"", ""2014-01-17 07:20:01"", ""10:39:59"")', '(""Guy\'s Gyros"", ""2014-01-17 17:46:42"", ""2014-01-17 19:31:01"", ""01:44:19"")', '(""Guy\'s Gyros"", ""2014-01-17 21:07:01"", ""2014-01-17 21:11:01"", ""00:04:00"")', '(""Guy\'s Gyros"", ""2014-01-17 21:11:01"", ""2014-01-18 12:38:01"", ""15:27:00"")', '(""Guy\'s Gyros"", ""2014-01-19 15:51:59"", ""2014-01-19 16:38:01"", ""00:46:02"")', '(""Guy\'s Gyros"", ""2014-01-19 16:38:01"", ""2014-01-19 17:50:01"", ""01:12:00"")']"
Brand Tempestad,Marin Onda,2,"['(""Albert\'s Fine Clothing"", ""2014-01-09 12:23:27"", ""2014-01-09 13:40:01"", ""01:16:34"")', '(""White Building"", ""2014-01-10 20:10:02"", ""2014-01-10 23:37:01"", ""03:26:59"")']"
Marin Onda,Orhan Strum,20,"['(""Albert\'s Fine Clothing"", ""2014-01-16 12:27:27"", ""2014-01-16 13:28:01"", ""01:00:34"")', '(""General Grocer"", ""2014-01-17 12:21:16"", ""2014-01-17 13:21:01"", ""00:59:45"")', '(""Ouzeri Elian"", ""2014-01-12 12:56:20"", ""2014-01-12 13:32:01"", ""00:35:41"")', '(""Ouzeri Elian"", ""2014-01-12 13:32:52"", ""2014-01-12 13:37:01"", ""00:04:09"")', '(""Taxiarchon Park"", ""2014-01-07 18:02:48"", ""2014-01-07 19:22:01"", ""01:19:13"")', '(""Taxiarchon Park"", ""2014-01-08 17:53:48"", ""2014-01-08 18:58:01"", ""01:04:13"")', '(""Taxiarchon Park"", ""2014-01-08 20:16:04"", ""2014-01-09 07:09:01"", ""10:52:57"")', '(""Taxiarchon Park"", ""2014-01-09 21:30:04"", ""2014-01-10 07:03:01"", ""09:32:57"")', '(""Taxiarchon Park"", ""2014-01-11 19:59:02"", ""2014-01-11 20:04:01"", ""00:04:59"")', '(""Taxiarchon Park"", ""2014-01-11 20:04:01"", ""2014-01-12 12:26:01"", ""16:22:00"")', '(""Taxiarchon Park"", ""2014-01-12 15:20:33"", ""2014-01-12 15:31:01"", ""00:10:28"")', '(""Taxiarchon Park"", ""2014-01-12 15:31:01"", ""2014-01-12 16:11:01"", ""00:40:00"")', '(""Taxiarchon Park"", ""2014-01-12 16:11:01"", ""2014-01-12 16:22:01"", ""00:11:00"")', '(""Taxiarchon Park"", ""2014-01-13 18:05:48"", ""2014-01-13 19:23:01"", ""01:17:13"")', '(""Taxiarchon Park"", ""2014-01-13 21:36:01"", ""2014-01-13 23:00:01"", ""01:24:00"")', '(""Taxiarchon Park"", ""2014-01-15 21:58:01"", ""2014-01-16 07:17:01"", ""09:19:00"")', '(""Taxiarchon Park"", ""2014-01-16 18:07:48"", ""2014-01-17 07:02:01"", ""12:54:13"")', '(""Taxiarchon Park"", ""2014-01-18 15:46:58"", ""2014-01-18 18:07:01"", ""02:20:03"")', '(""Taxiarchon Park"", ""2014-01-18 20:03:03"", ""2014-01-18 20:07:01"", ""00:03:58"")', '(""Taxiarchon Park"", ""2014-01-18 20:07:01"", ""2014-01-19 12:31:01"", ""16:24:00"")']"
Edvard Vann,Felix Resumir,16,"['(""Albert\'s Fine Clothing"", ""2014-01-10 12:26:27"", ""2014-01-10 13:24:01"", ""00:57:34"")', '(""Roberts and Sons"", ""2014-01-16 12:22:17"", ""2014-01-16 13:40:01"", ""01:17:44"")', '(""Brew\'ve Been Served"", ""2014-01-07 18:56:53"", ""2014-01-07 19:01:01"", ""00:04:08"")', '(""Brew\'ve Been Served"", ""2014-01-07 19:01:01"", ""2014-01-07 20:12:01"", ""01:11:00"")', '(""Brew\'ve Been Served"", ""2014-01-10 19:08:58"", ""2014-01-10 20:00:01"", ""00:51:03"")', '(""Brew\'ve Been Served"", ""2014-01-14 19:06:01"", ""2014-01-14 20:05:01"", ""00:59:00"")', '(""Brew\'ve Been Served"", ""2014-01-16 18:49:58"", ""2014-01-16 19:49:01"", ""00:59:03"")', '(""Brew\'ve Been Served"", ""2014-01-17 19:16:58"", ""2014-01-17 19:49:01"", ""00:32:03"")', '(""Katerina\'s Café"", ""2014-01-07 07:39:23"", ""2014-01-07 07:42:01"", ""00:02:38"")', '(""Katerina\'s Café"", ""2014-01-08 07:54:48"", ""2014-01-08 08:02:01"", ""00:07:13"")', '(""Katerina\'s Café"", ""2014-01-09 07:48:23"", ""2014-01-09 07:50:01"", ""00:01:38"")', '(""Katerina\'s Café"", ""2014-01-10 07:40:23"", ""2014-01-10 08:02:01"", ""00:21:38"")', '(""Katerina\'s Café"", ""2014-01-13 07:50:23"", ""2014-01-13 07:52:01"", ""00:01:38"")', '(""Katerina\'s Café"", ""2014-01-15 07:48:23"", ""2014-01-15 08:02:01"", ""00:13:38"")', '(""Katerina\'s Café"", ""2014-01-16 07:46:48"", ""2014-01-16 07:56:01"", ""00:09:13"")', '(""Katerina\'s Café"", ""2014-01-17 07:49:48"", ""2014-01-17 08:02:01"", ""00:12:13"")']"
Felix Resumir,Willem Vasco-Pais,5,"['(""Albert\'s Fine Clothing"", ""2014-01-10 12:26:27"", ""2014-01-10 13:43:01"", ""01:16:34"")', '(""Roberts and Sons"", ""2014-01-18 13:11:04"", ""2014-01-18 13:30:01"", ""00:18:57"")', '(""Brew\'ve Been Served"", ""2014-01-13 12:31:01"", ""2014-01-13 13:41:01"", ""01:10:00"")', '(""Ahaggo Museum"", ""2014-01-12 16:26:16"", ""2014-01-12 17:57:01"", ""01:30:45"")', '(""Ahaggo Museum"", ""2014-01-12 17:57:01"", ""2014-01-12 18:58:01"", ""01:01:00"")']"
Edvard Vann,Orhan Strum,3,"['(""Albert\'s Fine Clothing"", ""2014-01-06 12:23:27"", ""2014-01-06 13:01:01"", ""00:37:34"")', '(""Albert\'s Fine Clothing"", ""2014-01-11 18:15:08"", ""2014-01-11 19:31:01"", ""01:15:53"")', '(""Katerina\'s Café"", ""2014-01-14 11:58:23"", ""2014-01-14 13:21:01"", ""01:22:38"")']"
Orhan Strum,Willem Vasco-Pais,18,"['(""Albert\'s Fine Clothing"", ""2014-01-07 20:23:19"", ""2014-01-07 20:55:01"", ""00:31:42"")', '(""Albert\'s Fine Clothing"", ""2014-01-09 19:44:02"", ""2014-01-09 20:42:01"", ""00:57:59"")', '(""Albert\'s Fine Clothing"", ""2014-01-10 20:08:19"", ""2014-01-10 21:26:01"", ""01:17:42"")', '(""Albert\'s Fine Clothing"", ""2014-01-13 19:42:18"", ""2014-01-13 19:51:01"", ""00:08:43"")', '(""Albert\'s Fine Clothing"", ""2014-01-13 19:51:01"", ""2014-01-13 20:36:01"", ""00:45:00"")', '(""Albert\'s Fine Clothing"", ""2014-01-18 18:25:19"", ""2014-01-18 19:04:01"", ""00:38:42"")', '(""Albert\'s Fine Clothing"", ""2014-01-19 18:46:19"", ""2014-01-19 20:04:01"", ""01:17:42"")', '(""Desafio Golf Course"", ""2014-01-19 12:41:17"", ""2014-01-19 12:51:01"", ""00:09:44"")', '(""Desafio Golf Course"", ""2014-01-19 12:51:01"", ""2014-01-19 16:02:01"", ""03:11:00"")', '(""Jack\'s Magic Beans"", ""2014-01-07 06:42:01"", ""2014-01-07 06:58:01"", ""00:16:00"")', '(""Jack\'s Magic Beans"", ""2014-01-08 06:25:33"", ""2014-01-08 06:46:01"", ""00:20:28"")', '(""Jack\'s Magic Beans"", ""2014-01-08 06:46:01"", ""2014-01-08 06:54:01"", ""00:08:00"")', '(""Jack\'s Magic Beans"", ""2014-01-13 06:49:01"", ""2014-01-13 06:52:01"", ""00:03:00"")', '(""Jack\'s Magic Beans"", ""2014-01-13 06:53:56"", ""2014-01-13 06:59:01"", ""00:05:05"")', '(""Jack\'s Magic Beans"", ""2014-01-14 06:40:32"", ""2014-01-14 07:00:01"", ""00:19:29"")', '(""Jack\'s Magic Beans"", ""2014-01-14 07:00:01"", ""2014-01-14 07:09:01"", ""00:09:00"")', '(""Jack\'s Magic Beans"", ""2014-01-15 06:26:33"", ""2014-01-15 06:41:01"", ""00:14:28"")', '(""Jack\'s Magic Beans"", ""2014-01-15 06:41:01"", ""2014-01-15 07:10:01"", ""00:29:00"")']"
Brand Tempestad,Orhan Strum,1,"['(""Albert\'s Fine Clothing"", ""2014-01-11 18:29:08"", ""2014-01-11 19:31:01"", ""01:01:53"")']"
Brand Tempestad,Edvard Vann,17,"['(""Albert\'s Fine Clothing"", ""2014-01-11 18:29:08"", ""2014-01-11 19:31:01"", ""01:01:53"")', '(""Roberts and Sons"", ""2014-01-07 12:25:17"", ""2014-01-07 13:36:01"", ""01:10:44"")', '(""Brew\'ve Been Served"", ""2014-01-07 18:56:53"", ""2014-01-07 19:01:01"", ""00:04:08"")', '(""Brew\'ve Been Served"", ""2014-01-07 19:01:01"", ""2014-01-07 20:12:01"", ""01:11:00"")', '(""Brew\'ve Been Served"", ""2014-01-13 19:19:22"", ""2014-01-13 19:23:01"", ""00:03:39"")', '(""Brew\'ve Been Served"", ""2014-01-13 19:23:01"", ""2014-01-13 20:13:01"", ""00:50:00"")', '(""Brew\'ve Been Served"", ""2014-01-16 18:50:23"", ""2014-01-16 19:49:01"", ""00:58:38"")', '(""Brew\'ve Been Served"", ""2014-01-17 19:33:23"", ""2014-01-17 19:57:01"", ""00:23:38"")', '(""Katerina\'s Café"", ""2014-01-06 07:30:53"", ""2014-01-06 07:35:01"", ""00:04:08"")', '(""Katerina\'s Café"", ""2014-01-09 07:17:48"", ""2014-01-09 07:46:01"", ""00:28:13"")', '(""Katerina\'s Café"", ""2014-01-10 07:26:48"", ""2014-01-10 07:55:01"", ""00:28:13"")', '(""Katerina\'s Café"", ""2014-01-13 07:19:53"", ""2014-01-13 07:44:01"", ""00:24:08"")', '(""Katerina\'s Café"", ""2014-01-14 07:28:53"", ""2014-01-14 07:35:01"", ""00:06:08"")', '(""Katerina\'s Café"", ""2014-01-15 07:36:01"", ""2014-01-15 07:45:01"", ""00:09:00"")', '(""Katerina\'s Café"", ""2014-01-16 07:46:48"", ""2014-01-16 07:56:01"", ""00:09:13"")', '(""Katerina\'s Café"", ""2014-01-17 07:49:48"", ""2014-01-17 08:02:01"", ""00:12:13"")', '(""Ahaggo Museum"", ""2014-01-11 14:18:01"", ""2014-01-11 18:11:01"", ""03:53:00"")']"
Edvard Vann,Willem Vasco-Pais,4,"['(""Albert\'s Fine Clothing"", ""2014-01-10 12:23:27"", ""2014-01-10 13:24:01"", ""01:00:34"")', '(""General Grocer"", ""2014-01-15 19:45:22"", ""2014-01-15 21:10:01"", ""01:24:39"")', '(""Ahaggo Museum"", ""2014-01-11 17:33:05"", ""2014-01-11 18:01:01"", ""00:27:56"")', '(""Ahaggo Museum"", ""2014-01-11 18:01:01"", ""2014-01-11 18:11:01"", ""00:10:00"")']"
Bertrand Ovan,Nils Calixto,1,"['(""General Grocer"", ""2014-01-07 12:36:36"", ""2014-01-07 13:43:01"", ""01:06:25"")']"
Nils Calixto,Willem Vasco-Pais,4,"['(""General Grocer"", ""2014-01-07 12:41:16"", ""2014-01-07 13:38:01"", ""00:56:45"")', '(""Roberts and Sons"", ""2014-01-09 12:50:16"", ""2014-01-09 12:54:01"", ""00:03:45"")', '(""Roberts and Sons"", ""2014-01-09 12:54:01"", ""2014-01-09 13:36:01"", ""00:42:00"")', '(""Roberts and Sons"", ""2014-01-18 13:11:04"", ""2014-01-18 13:30:01"", ""00:18:57"")']"
Bertrand Ovan,Lars Azada,3,"['(""General Grocer"", ""2014-01-10 12:47:04"", ""2014-01-10 13:44:01"", ""00:56:57"")', '(""Roberts and Sons"", ""2014-01-08 12:30:12"", ""2014-01-08 13:31:52"", ""01:01:40"")', '(""Brew\'ve Been Served"", ""2014-01-09 12:46:45"", ""2014-01-09 13:44:01"", ""00:57:16"")']"
Felix Balas,Kare Orilla,4,"['(""General Grocer"", ""2014-01-17 12:34:16"", ""2014-01-17 13:37:01"", ""01:02:45"")', '(""Roberts and Sons"", ""2014-01-14 12:36:26"", ""2014-01-14 13:31:01"", ""00:54:35"")', '(""Roberts and Sons"", ""2014-01-15 12:23:17"", ""2014-01-15 13:54:01"", ""01:30:44"")', '(""Roberts and Sons"", ""2014-01-16 12:28:26"", ""2014-01-16 13:49:01"", ""01:20:35"")']"
Edvard Vann,Isak Baza,2,"['(""General Grocer"", ""2014-01-09 12:08:16"", ""2014-01-09 13:22:01"", ""01:13:45"")', '(""Roberts and Sons"", ""2014-01-07 12:16:17"", ""2014-01-07 13:31:01"", ""01:14:44"")']"
Inga Ferro,Linnea Bergen,1,"['(""General Grocer"", ""2014-01-06 12:15:16"", ""2014-01-06 13:25:01"", ""01:09:45"")']"
Kare Orilla,Linnea Bergen,7,"['(""General Grocer"", ""2014-01-06 12:23:16"", ""2014-01-06 13:25:01"", ""01:01:45"")', '(""Katerina\'s Café"", ""2014-01-06 19:06:01"", ""2014-01-06 20:14:01"", ""01:08:00"")', '(""Katerina\'s Café"", ""2014-01-07 19:22:02"", ""2014-01-07 20:13:01"", ""00:50:59"")', '(""Katerina\'s Café"", ""2014-01-11 18:50:01"", ""2014-01-11 19:20:01"", ""00:30:00"")', '(""Katerina\'s Café"", ""2014-01-12 18:58:01"", ""2014-01-12 19:26:01"", ""00:28:00"")', '(""Katerina\'s Café"", ""2014-01-15 19:12:02"", ""2014-01-15 19:55:01"", ""00:42:59"")', '(""Katerina\'s Café"", ""2014-01-16 19:16:02"", ""2014-01-16 20:54:01"", ""01:37:59"")']"
Lidelse Dedos,Linnea Bergen,34,"['(""General Grocer"", ""2014-01-07 12:18:16"", ""2014-01-07 13:37:01"", ""01:18:45"")', '(""White Building"", ""2014-01-10 18:59:30"", ""2014-01-10 22:20:01"", ""03:20:31"")', '(""Katerina\'s Café"", ""2014-01-06 19:04:05"", ""2014-01-06 20:13:01"", ""01:08:56"")', '(""Katerina\'s Café"", ""2014-01-07 19:22:02"", ""2014-01-07 20:13:01"", ""00:50:59"")', '(""Katerina\'s Café"", ""2014-01-08 19:52:01"", ""2014-01-08 21:15:01"", ""01:23:00"")', '(""Katerina\'s Café"", ""2014-01-11 18:54:05"", ""2014-01-11 19:20:01"", ""00:25:56"")', '(""Katerina\'s Café"", ""2014-01-12 18:27:05"", ""2014-01-12 19:26:01"", ""00:58:56"")', '(""Katerina\'s Café"", ""2014-01-13 19:17:01"", ""2014-01-13 20:49:01"", ""01:32:00"")', '(""Guy\'s Gyros"", ""2014-01-06 17:37:39"", ""2014-01-06 18:45:01"", ""01:07:22"")', '(""Guy\'s Gyros"", ""2014-01-06 20:18:01"", ""2014-01-07 07:01:01"", ""10:43:00"")', '(""Guy\'s Gyros"", ""2014-01-07 17:49:42"", ""2014-01-07 18:47:01"", ""00:57:19"")', '(""Guy\'s Gyros"", ""2014-01-07 20:20:05"", ""2014-01-08 07:12:01"", ""10:51:56"")', '(""Guy\'s Gyros"", ""2014-01-08 17:56:42"", ""2014-01-08 19:45:01"", ""01:48:19"")', '(""Guy\'s Gyros"", ""2014-01-08 21:22:01"", ""2014-01-09 07:07:01"", ""09:45:00"")', '(""Guy\'s Gyros"", ""2014-01-09 17:39:39"", ""2014-01-09 19:05:01"", ""01:25:22"")', '(""Guy\'s Gyros"", ""2014-01-09 20:34:53"", ""2014-01-10 07:06:01"", ""10:31:08"")', '(""Guy\'s Gyros"", ""2014-01-10 17:54:39"", ""2014-01-10 18:40:01"", ""00:45:22"")', '(""Guy\'s Gyros"", ""2014-01-10 23:39:30"", ""2014-01-11 12:32:01"", ""12:52:31"")', '(""Guy\'s Gyros"", ""2014-01-11 14:03:04"", ""2014-01-11 18:20:01"", ""04:16:57"")', '(""Guy\'s Gyros"", ""2014-01-11 20:57:00"", ""2014-01-12 11:32:01"", ""14:35:01"")', '(""Guy\'s Gyros"", ""2014-01-12 11:32:01"", ""2014-01-12 12:30:01"", ""00:58:00"")', '(""Guy\'s Gyros"", ""2014-01-12 14:15:28"", ""2014-01-12 18:15:01"", ""03:59:33"")', '(""Guy\'s Gyros"", ""2014-01-12 20:56:03"", ""2014-01-12 23:21:01"", ""02:24:58"")', '(""Guy\'s Gyros"", ""2014-01-12 23:21:01"", ""2014-01-13 07:05:01"", ""07:44:00"")', '(""Guy\'s Gyros"", ""2014-01-13 17:54:42"", ""2014-01-13 19:00:01"", ""01:05:19"")', '(""Guy\'s Gyros"", ""2014-01-13 21:09:01"", ""2014-01-14 07:21:01"", ""10:12:00"")', '(""Guy\'s Gyros"", ""2014-01-14 17:59:01"", ""2014-01-14 19:14:01"", ""01:15:00"")', '(""Guy\'s Gyros"", ""2014-01-14 20:36:01"", ""2014-01-15 07:30:01"", ""10:54:00"")', '(""Guy\'s Gyros"", ""2014-01-15 17:53:39"", ""2014-01-15 18:49:01"", ""00:55:22"")', '(""Guy\'s Gyros"", ""2014-01-15 21:10:01"", ""2014-01-16 07:08:01"", ""09:58:00"")', '(""Guy\'s Gyros"", ""2014-01-16 17:43:39"", ""2014-01-16 19:01:01"", ""01:17:22"")', '(""Guy\'s Gyros"", ""2014-01-16 21:02:02"", ""2014-01-17 07:28:01"", ""10:25:59"")', '(""Guy\'s Gyros"", ""2014-01-17 17:46:42"", ""2014-01-17 19:36:01"", ""01:49:19"")', '(""Guy\'s Gyros"", ""2014-01-17 20:25:02"", ""2014-01-18 12:20:01"", ""15:54:59"")']"
Hennie Osvaldo,Linnea Bergen,24,"['(""General Grocer"", ""2014-01-07 12:17:16"", ""2014-01-07 13:37:01"", ""01:19:45"")', '(""Katerina\'s Café"", ""2014-01-06 19:32:05"", ""2014-01-06 20:14:01"", ""00:41:56"")', '(""Katerina\'s Café"", ""2014-01-07 19:22:02"", ""2014-01-07 20:13:01"", ""00:50:59"")', '(""Katerina\'s Café"", ""2014-01-11 18:22:02"", ""2014-01-11 18:46:01"", ""00:23:59"")', '(""Katerina\'s Café"", ""2014-01-11 18:47:06"", ""2014-01-11 19:20:01"", ""00:32:55"")', '(""Katerina\'s Café"", ""2014-01-12 18:50:01"", ""2014-01-12 19:26:01"", ""00:36:00"")', '(""Katerina\'s Café"", ""2014-01-13 19:31:05"", ""2014-01-13 20:49:01"", ""01:17:56"")', '(""Katerina\'s Café"", ""2014-01-16 19:16:02"", ""2014-01-16 20:31:01"", ""01:14:59"")', '(""Katerina\'s Café"", ""2014-01-17 19:38:02"", ""2014-01-17 20:23:01"", ""00:44:59"")', '(""Guy\'s Gyros"", ""2014-01-06 17:48:36"", ""2014-01-06 17:53:01"", ""00:04:25"")', '(""Guy\'s Gyros"", ""2014-01-06 17:53:01"", ""2014-01-06 18:45:01"", ""00:52:00"")', '(""Guy\'s Gyros"", ""2014-01-07 17:49:42"", ""2014-01-07 19:05:01"", ""01:15:19"")', '(""Guy\'s Gyros"", ""2014-01-08 17:56:42"", ""2014-01-08 19:45:01"", ""01:48:19"")', '(""Guy\'s Gyros"", ""2014-01-08 21:17:02"", ""2014-01-09 07:07:01"", ""09:49:59"")', '(""Guy\'s Gyros"", ""2014-01-09 17:47:39"", ""2014-01-09 18:36:01"", ""00:48:22"")', '(""Guy\'s Gyros"", ""2014-01-10 17:45:42"", ""2014-01-10 18:40:01"", ""00:54:19"")', '(""Guy\'s Gyros"", ""2014-01-11 20:24:55"", ""2014-01-12 18:15:01"", ""21:50:06"")', '(""Guy\'s Gyros"", ""2014-01-12 20:17:05"", ""2014-01-13 07:11:01"", ""10:53:56"")', '(""Guy\'s Gyros"", ""2014-01-13 17:54:42"", ""2014-01-13 19:14:01"", ""01:19:19"")', '(""Guy\'s Gyros"", ""2014-01-14 17:59:01"", ""2014-01-14 19:16:01"", ""01:17:00"")', '(""Guy\'s Gyros"", ""2014-01-15 17:45:42"", ""2014-01-15 19:10:01"", ""01:24:19"")', '(""Guy\'s Gyros"", ""2014-01-15 21:10:01"", ""2014-01-16 07:08:01"", ""09:58:00"")', '(""Guy\'s Gyros"", ""2014-01-16 17:50:39"", ""2014-01-16 18:43:01"", ""00:52:22"")', '(""Guy\'s Gyros"", ""2014-01-17 17:46:42"", ""2014-01-17 19:14:01"", ""01:27:19"")']"
