Person 1,Person 2,Meeting Times,Meeting Information
Brand Tempestad,Felix Resumir,8,"[(""Katerina's Café"", '2014-01-16 07:35:01', '2014-01-16 07:37:23'), (""Katerina's Café"", '2014-01-17 07:40:01', '2014-01-17 07:40:53'), (""Guy's Gyros"", '2014-01-07 17:20:01', '2014-01-07 17:24:16'), (""Guy's Gyros"", '2014-01-07 20:21:01', '2014-01-07 20:21:23'), (""Guy's Gyros"", '2014-01-14 17:30:01', '2014-01-14 17:30:38'), (""Guy's Gyros"", '2014-01-16 20:15:01', '2014-01-16 20:15:58'), (""Guy's Gyros"", '2014-01-17 17:41:01', '2014-01-17 17:43:16'), (""Brew've Been Served"", '2014-01-16 18:49:01', '2014-01-16 18:49:58')]"
Brand Tempestad,Gustav Cazar,1,"[('Roberts and Sons', '2014-01-07 12:18:01', '2014-01-07 12:25:17')]"
Brand Tempestad,Hennie Osvaldo,8,"[(""Katerina's Café"", '2014-01-06 07:26:01', '2014-01-06 07:26:36'), (""Katerina's Café"", '2014-01-07 07:44:01', '2014-01-07 07:45:53'), (""Katerina's Café"", '2014-01-08 07:35:01', '2014-01-08 07:37:36'), (""Katerina's Café"", '2014-01-15 07:23:01', '2014-01-15 07:24:53'), (""Guy's Gyros"", '2014-01-07 17:23:01', '2014-01-07 17:24:38'), (""Guy's Gyros"", '2014-01-08 17:22:01', '2014-01-08 17:27:38'), (""Guy's Gyros"", '2014-01-09 17:42:01', '2014-01-09 17:44:38'), (""Guy's Gyros"", '2014-01-17 17:41:01', '2014-01-17 17:43:39')]"
Brand Tempestad,Inga Ferro,3,"[(""Katerina's Café"", '2014-01-06 07:27:01', '2014-01-06 07:29:36'), (""Katerina's Café"", '2014-01-17 07:38:01', '2014-01-17 07:40:36'), ('Roberts and Sons', '2014-01-07 12:18:01', '2014-01-07 12:25:17')]"
Brand Tempestad,Ingrid Barranco,2,"[(""Albert's Fine Clothing"", '2014-01-11 18:25:01', '2014-01-11 18:28:13'), ('Roberts and Sons', '2014-01-07 12:17:01', '2014-01-07 12:17:17')]"
Brand Tempestad,Isak Baza,1,"[(""Albert's Fine Clothing"", '2014-01-15 11:52:01', '2014-01-15 11:58:27')]"
Brand Tempestad,Isia Vann,3,"[(""Katerina's Café"", '2014-01-10 07:16:01', '2014-01-10 07:16:53'), (""Katerina's Café"", '2014-01-15 07:23:01', '2014-01-15 07:24:53'), (""Brew've Been Served"", '2014-01-13 19:17:01', '2014-01-13 19:18:05')]"
Brand Tempestad,Kanon Herrero,7,"[(""Albert's Fine Clothing"", '2014-01-09 12:14:01', '2014-01-09 12:22:27'), (""Guy's Gyros"", '2014-01-10 23:37:01', '2014-01-10 23:44:01'), (""Guy's Gyros"", '2014-01-11 19:33:01', '2014-01-11 19:35:02'), (""Guy's Gyros"", '2014-01-14 17:25:01', '2014-01-14 17:25:42'), (""Guy's Gyros"", '2014-01-15 17:26:01', '2014-01-15 17:29:38'), (""Guy's Gyros"", '2014-01-15 20:08:01', '2014-01-15 20:09:02'), (""Guy's Gyros"", '2014-01-17 17:42:01', '2014-01-17 17:46:38')]"
Brand Tempestad,Lidelse Dedos,6,"[(""Guy's Gyros"", '2014-01-06 17:32:01', '2014-01-06 17:37:38'), (""Guy's Gyros"", '2014-01-07 20:19:01', '2014-01-07 20:20:05'), (""Guy's Gyros"", '2014-01-09 17:39:01', '2014-01-09 17:39:39'), (""Guy's Gyros"", '2014-01-10 23:37:01', '2014-01-10 23:39:30'), (""Guy's Gyros"", '2014-01-16 17:38:01', '2014-01-16 17:38:38'), (""Guy's Gyros"", '2014-01-17 17:41:01', '2014-01-17 17:45:39')]"
Brand Tempestad,Linnea Bergen,3,"[(""Guy's Gyros"", '2014-01-06 17:32:01', '2014-01-06 17:34:42'), (""Guy's Gyros"", '2014-01-16 17:34:01', '2014-01-16 17:38:38'), (""Guy's Gyros"", '2014-01-17 17:42:01', '2014-01-17 17:46:38')]"
Brand Tempestad,Loreto Bodrogi,3,"[(""Katerina's Café"", '2014-01-16 07:34:01', '2014-01-16 07:36:36'), ('Roberts and Sons', '2014-01-13 12:10:01', '2014-01-13 12:10:17'), (""Brew've Been Served"", '2014-01-15 19:08:01', '2014-01-15 19:09:05')]"
Brand Tempestad,Minke Mies,2,"[(""Guy's Gyros"", '2014-01-09 17:40:01', '2014-01-09 17:44:38'), (""Guy's Gyros"", '2014-01-17 17:42:01', '2014-01-17 17:46:38')]"
Brand Tempestad,Stenig Fusil,4,"[(""Katerina's Café"", '2014-01-13 07:16:01', '2014-01-13 07:19:53'), (""Katerina's Café"", '2014-01-15 07:21:01', '2014-01-15 07:24:53'), ('Roberts and Sons', '2014-01-13 12:07:01', '2014-01-13 12:10:17'), (""Brew've Been Served"", '2014-01-16 18:50:01', '2014-01-16 18:50:23')]"
Brand Tempestad,Sven Flecha,4,"[(""Katerina's Café"", '2014-01-13 07:15:01', '2014-01-13 07:15:53'), (""Guy's Gyros"", '2014-01-10 17:15:01', '2014-01-10 17:19:38'), (""Guy's Gyros"", '2014-01-13 17:29:01', '2014-01-13 17:33:38'), (""Guy's Gyros"", '2014-01-15 17:24:01', '2014-01-15 17:28:38')]"
Brand Tempestad,Varja Lagos,4,"[(""Katerina's Café"", '2014-01-07 07:45:01', '2014-01-07 07:45:53'), (""Katerina's Café"", '2014-01-08 07:34:01', '2014-01-08 07:36:23'), (""Guy's Gyros"", '2014-01-06 17:32:01', '2014-01-06 17:36:50'), (""Guy's Gyros"", '2014-01-14 17:26:01', '2014-01-14 17:30:16')]"
Brand Tempestad,Vira Frente,1,"[('Roberts and Sons', '2014-01-13 12:02:01', '2014-01-13 12:04:17')]"
Edvard Vann,Adra Nubarron,3,"[(""Katerina's Café"", '2014-01-10 07:23:01', '2014-01-10 07:25:23'), (""Katerina's Café"", '2014-01-15 07:30:01', '2014-01-15 07:30:23'), ('Roberts and Sons', '2014-01-16 12:05:01', '2014-01-16 12:12:17')]"
Edvard Vann,Birgitta Frente,1,"[(""Albert's Fine Clothing"", '2014-01-17 12:13:01', '2014-01-17 12:13:27')]"
Edvard Vann,Elsa Orilla,1,"[('General Grocer', '2014-01-09 11:57:01', '2014-01-09 11:57:16')]"
Edvard Vann,Felix Balas,1,"[(""Albert's Fine Clothing"", '2014-01-08 12:13:01', '2014-01-08 12:17:27')]"
Edvard Vann,Gustav Cazar,1,"[(""Albert's Fine Clothing"", '2014-01-06 12:14:01', '2014-01-06 12:17:27')]"
Edvard Vann,Hennie Osvaldo,3,"[(""Katerina's Café"", '2014-01-10 07:24:01', '2014-01-10 07:26:36'), (""Katerina's Café"", '2014-01-14 07:11:01', '2014-01-14 07:12:48'), (""Katerina's Café"", '2014-01-17 07:49:01', '2014-01-17 07:49:48')]"
Edvard Vann,Hideki Cocinaro,6,"[('Roberts and Sons', '2014-01-07 12:07:01', '2014-01-07 12:15:26'), ('Sannan Park', '2014-01-06 17:14:01', '2014-01-06 17:18:41'), ('Sannan Park', '2014-01-08 17:32:01', '2014-01-08 17:34:41'), ('Sannan Park', '2014-01-09 17:19:01', '2014-01-09 17:20:41'), ('Sannan Park', '2014-01-14 20:05:01', '2014-01-14 20:05:19'), ('Sannan Park', '2014-01-15 17:33:01', '2014-01-15 17:38:46')]"
Edvard Vann,Inga Ferro,1,"[(""Brew've Been Served"", '2014-01-13 19:12:01', '2014-01-13 19:12:55')]"
Edvard Vann,Ingrid Barranco,1,"[('Roberts and Sons', '2014-01-07 12:09:01', '2014-01-07 12:15:26')]"
Edvard Vann,Isak Baza,2,"[('General Grocer', '2014-01-09 12:02:01', '2014-01-09 12:03:16'), ('Roberts and Sons', '2014-01-07 12:08:01', '2014-01-07 12:15:26')]"
Edvard Vann,Isia Vann,2,"[(""Katerina's Café"", '2014-01-14 07:10:01', '2014-01-14 07:12:36'), (""Katerina's Café"", '2014-01-17 07:44:01', '2014-01-17 07:46:36')]"
Edvard Vann,Lars Azada,3,"[(""Albert's Fine Clothing"", '2014-01-11 18:12:01', '2014-01-11 18:14:13'), ('Roberts and Sons', '2014-01-07 12:07:01', '2014-01-07 12:13:17'), (""Brew've Been Served"", '2014-01-15 12:18:01', '2014-01-15 12:21:42')]"
Edvard Vann,Linnea Bergen,1,"[(""Albert's Fine Clothing"", '2014-01-08 12:10:01', '2014-01-08 12:17:27')]"
Edvard Vann,Loreto Bodrogi,2,"[(""Katerina's Café"", '2014-01-10 07:23:01', '2014-01-10 07:25:36'), ('Kronos Capital', '2014-01-18 13:11:01', '2014-01-18 13:14:04')]"
Edvard Vann,Marin Onda,1,"[(""Katerina's Café"", '2014-01-19 12:32:01', '2014-01-19 12:35:04')]"
Edvard Vann,Nils Calixto,2,"[(""Albert's Fine Clothing"", '2014-01-06 12:17:01', '2014-01-06 12:23:27'), (""Albert's Fine Clothing"", '2014-01-08 12:08:01', '2014-01-08 12:17:27')]"
Edvard Vann,Orhan Strum,2,"[(""Katerina's Café"", '2014-01-14 11:55:01', '2014-01-14 11:55:23'), (""Albert's Fine Clothing"", '2014-01-06 12:14:01', '2014-01-06 12:21:27')]"
Edvard Vann,Stenig Fusil,8,"[(""Katerina's Café"", '2014-01-09 07:12:01', '2014-01-09 07:16:35'), (""Katerina's Café"", '2014-01-14 07:10:01', '2014-01-14 07:12:48'), (""Katerina's Café"", '2014-01-16 07:44:01', '2014-01-16 07:46:48'), (""Albert's Fine Clothing"", '2014-01-17 12:05:01', '2014-01-17 12:13:27'), ('Sannan Park', '2014-01-07 17:30:01', '2014-01-07 17:33:46'), ('Sannan Park', '2014-01-11 19:37:01', '2014-01-11 19:38:47'), ('Sannan Park', '2014-01-15 17:37:01', '2014-01-15 17:38:46'), ('Sannan Park', '2014-01-18 19:43:01', '2014-01-18 19:45:47')]"
Edvard Vann,Sven Flecha,4,"[(""Katerina's Café"", '2014-01-06 07:03:01', '2014-01-06 07:07:48'), ('Roberts and Sons', '2014-01-16 12:12:01', '2014-01-16 12:12:17'), (""Brew've Been Served"", '2014-01-14 18:42:01', '2014-01-14 18:44:23'), (""Brew've Been Served"", '2014-01-16 18:18:01', '2014-01-16 18:19:23')]"
Edvard Vann,Varja Lagos,1,"[(""Katerina's Café"", '2014-01-10 07:21:01', '2014-01-10 07:23:23')]"
Elsa Orilla,Ada Campo-Corrente,3,"[('Coffee Snack', '2014-01-07 07:19:01', '2014-01-07 07:19:44'), (""Albert's Fine Clothing"", '2014-01-12 17:59:01', '2014-01-12 17:59:42'), (""Albert's Fine Clothing"", '2014-01-16 12:11:01', '2014-01-16 12:13:27')]"
Elsa Orilla,Axel Calzas,3,"[('Roberts and Sons', '2014-01-18 12:44:01', '2014-01-18 12:44:40'), ('White Building', '2014-01-10 17:32:01', '2014-01-10 17:37:41'), ('White Building', '2014-01-17 17:32:01', '2014-01-17 17:32:27')]"
Elsa Orilla,Birgitta Frente,2,"[(""Brew've Been Served"", '2014-01-07 12:09:01', '2014-01-07 12:11:42'), ('White Building', '2014-01-10 19:12:01', '2014-01-10 19:12:30')]"
Elsa Orilla,Brand Tempestad,3,"[('Ouzeri Elian', '2014-01-06 11:47:01', '2014-01-06 11:48:05'), ('Roberts and Sons', '2014-01-12 12:32:01', '2014-01-12 12:36:36'), ('Chostus Hotel', '2014-01-17 11:20:01', '2014-01-17 11:22:07')]"
Elsa Orilla,Edvard Vann,1,"[('General Grocer', '2014-01-09 11:57:01', '2014-01-09 11:57:16')]"
Elsa Orilla,Felix Balas,5,"[(""Brew've Been Served"", '2014-01-07 12:11:01', '2014-01-07 12:12:42'), ('White Building', '2014-01-06 17:36:01', '2014-01-06 17:41:41'), ('White Building', '2014-01-07 17:44:01', '2014-01-07 17:50:41'), ('White Building', '2014-01-09 17:47:01', '2014-01-09 17:54:11'), ('White Building', '2014-01-14 17:32:01', '2014-01-14 17:40:11')]"
Elsa Orilla,Gustav Cazar,3,"[(""Albert's Fine Clothing"", '2014-01-15 12:17:01', '2014-01-15 12:25:27'), ('White Building', '2014-01-13 17:26:01', '2014-01-13 17:26:41'), ('White Building', '2014-01-15 17:35:01', '2014-01-15 17:39:59')]"
Elsa Orilla,Hennie Osvaldo,1,"[(""Albert's Fine Clothing"", '2014-01-15 12:25:01', '2014-01-15 12:25:27')]"
Elsa Orilla,Isak Baza,1,"[(""Albert's Fine Clothing"", '2014-01-16 12:15:01', '2014-01-16 12:20:27')]"
Elsa Orilla,Isia Vann,2,"[(""Albert's Fine Clothing"", '2014-01-16 12:15:01', '2014-01-16 12:20:27'), (""Brew've Been Served"", '2014-01-15 19:02:01', '2014-01-15 19:03:02')]"
Elsa Orilla,Lars Azada,3,"[('White Building', '2014-01-07 17:41:01', '2014-01-07 17:41:28'), ('White Building', '2014-01-13 17:18:01', '2014-01-13 17:26:41'), ('White Building', '2014-01-15 19:58:01', '2014-01-15 20:00:13')]"
Elsa Orilla,Lidelse Dedos,1,"[(""Brew've Been Served"", '2014-01-15 18:51:01', '2014-01-15 18:52:08')]"
Elsa Orilla,Linnea Bergen,2,"[(""Katerina's Café"", '2014-01-11 18:20:01', '2014-01-11 18:22:02'), ('Roberts and Sons', '2014-01-11 12:32:01', '2014-01-11 12:37:40')]"
Elsa Orilla,Lucas Alcazar,1,"[('White Building', '2014-01-10 19:12:01', '2014-01-10 19:12:50')]"
Elsa Orilla,Marin Onda,1,"[(""Katerina's Café"", '2014-01-11 18:14:01', '2014-01-11 18:20:04')]"
Elsa Orilla,Minke Mies,1,"[(""Albert's Fine Clothing"", '2014-01-15 12:24:01', '2014-01-15 12:25:27')]"
Elsa Orilla,Nils Calixto,1,"[('White Building', '2014-01-10 19:12:01', '2014-01-10 19:12:54')]"
Elsa Orilla,Orhan Strum,2,"[(""Albert's Fine Clothing"", '2014-01-16 12:18:01', '2014-01-16 12:20:27'), ('Roberts and Sons', '2014-01-18 12:43:01', '2014-01-18 12:44:40')]"
Elsa Orilla,Sven Flecha,1,"[(""Brew've Been Served"", '2014-01-15 18:57:01', '2014-01-15 18:59:23')]"
Elsa Orilla,Willem Vasco-Pais,2,"[(""Albert's Fine Clothing"", '2014-01-17 19:25:01', '2014-01-17 19:26:19'), ('Roberts and Sons', '2014-01-18 13:06:01', '2014-01-18 13:06:47')]"
Felix Balas,Ada Campo-Corrente,3,"[(""Albert's Fine Clothing"", '2014-01-09 19:45:01', '2014-01-09 19:45:09'), (""Albert's Fine Clothing"", '2014-01-19 18:21:01', '2014-01-19 18:21:45'), ('Roberts and Sons', '2014-01-14 12:03:01', '2014-01-14 12:06:26')]"
Felix Balas,Adra Nubarron,1,"[('Roberts and Sons', '2014-01-16 12:13:01', '2014-01-16 12:13:17')]"
Felix Balas,Axel Calzas,4,"[(""Albert's Fine Clothing"", '2014-01-09 12:16:01', '2014-01-09 12:19:27'), (""Albert's Fine Clothing"", '2014-01-19 18:21:01', '2014-01-19 18:21:44'), ('White Building', '2014-01-16 17:29:01', '2014-01-16 17:29:27'), ('White Building', '2014-01-19 19:47:01', '2014-01-19 19:47:42')]"
Felix Balas,Birgitta Frente,4,"[('Roberts and Sons', '2014-01-18 18:40:01', '2014-01-18 18:43:09'), (""Brew've Been Served"", '2014-01-07 12:11:01', '2014-01-07 12:11:42'), ('Bean There Done That', '2014-01-13 07:06:01', '2014-01-13 07:09:48'), ('White Building', '2014-01-10 19:03:01', '2014-01-10 19:03:45')]"
Felix Balas,Brand Tempestad,2,"[(""Albert's Fine Clothing"", '2014-01-09 12:16:01', '2014-01-09 12:23:27'), ('Roberts and Sons', '2014-01-13 12:09:01', '2014-01-13 12:10:17')]"
Felix Balas,Edvard Vann,1,"[(""Albert's Fine Clothing"", '2014-01-08 12:13:01', '2014-01-08 12:17:27')]"
Felix Balas,Elsa Orilla,5,"[(""Brew've Been Served"", '2014-01-07 12:11:01', '2014-01-07 12:12:42'), ('White Building', '2014-01-06 17:36:01', '2014-01-06 17:41:41'), ('White Building', '2014-01-07 17:44:01', '2014-01-07 17:50:41'), ('White Building', '2014-01-09 17:47:01', '2014-01-09 17:54:11'), ('White Building', '2014-01-14 17:32:01', '2014-01-14 17:40:11')]"
Felix Balas,Felix Resumir,1,"[('Roberts and Sons', '2014-01-16 12:14:01', '2014-01-16 12:21:26')]"
Felix Balas,Gustav Cazar,3,"[(""Albert's Fine Clothing"", '2014-01-19 18:21:01', '2014-01-19 18:22:13'), ('White Building', '2014-01-14 17:29:01', '2014-01-14 17:30:57'), ('White Building', '2014-01-16 17:29:01', '2014-01-16 17:29:57')]"
Felix Balas,Hideki Cocinaro,1,"[('Roberts and Sons', '2014-01-16 12:17:01', '2014-01-16 12:21:26')]"
Felix Balas,Inga Ferro,1,"[(""Albert's Fine Clothing"", '2014-01-16 18:37:01', '2014-01-16 18:39:28')]"
Felix Balas,Kanon Herrero,2,"[(""Albert's Fine Clothing"", '2014-01-09 12:16:01', '2014-01-09 12:22:27'), ('White Building', '2014-01-10 19:03:01', '2014-01-10 19:03:45')]"
Felix Balas,Kare Orilla,1,"[('Roberts and Sons', '2014-01-16 12:20:01', '2014-01-16 12:21:26')]"
Felix Balas,Lars Azada,4,"[('Bean There Done That', '2014-01-10 07:42:01', '2014-01-10 07:43:48'), ('White Building', '2014-01-14 17:29:01', '2014-01-14 17:31:28'), ('White Building', '2014-01-16 17:29:01', '2014-01-16 17:30:28'), ('White Building', '2014-01-16 20:18:01', '2014-01-16 20:20:28')]"
Felix Balas,Lidelse Dedos,1,"[('Bean There Done That', '2014-01-13 07:06:01', '2014-01-13 07:09:48')]"
Felix Balas,Linnea Bergen,1,"[(""Albert's Fine Clothing"", '2014-01-08 12:13:01', '2014-01-08 12:19:27')]"
Felix Balas,Loreto Bodrogi,1,"[('Roberts and Sons', '2014-01-13 12:10:01', '2014-01-13 12:17:17')]"
Felix Balas,Lucas Alcazar,1,"[('White Building', '2014-01-10 19:03:01', '2014-01-10 19:03:45')]"
Felix Balas,Marin Onda,1,"[('General Grocer', '2014-01-17 12:15:01', '2014-01-17 12:21:16')]"
Felix Balas,Nils Calixto,1,"[(""Albert's Fine Clothing"", '2014-01-08 12:13:01', '2014-01-08 12:17:27')]"
Felix Balas,Orhan Strum,3,"[(""Albert's Fine Clothing"", '2014-01-11 18:08:01', '2014-01-11 18:09:03'), ('General Grocer', '2014-01-17 12:15:01', '2014-01-17 12:16:16'), ('Roberts and Sons', '2014-01-15 12:02:01', '2014-01-15 12:02:17')]"
Felix Balas,Stenig Fusil,1,"[('Roberts and Sons', '2014-01-13 12:09:01', '2014-01-13 12:15:17')]"
Felix Balas,Sven Flecha,1,"[('Roberts and Sons', '2014-01-16 12:13:01', '2014-01-16 12:20:26')]"
Felix Balas,Vira Frente,1,"[('Bean There Done That', '2014-01-10 07:40:01', '2014-01-10 07:40:49')]"
Felix Resumir,Ada Campo-Corrente,1,"[(""Albert's Fine Clothing"", '2014-01-10 12:17:01', '2014-01-10 12:26:27')]"
Felix Resumir,Adra Nubarron,2,"[(""Guy's Gyros"", '2014-01-09 17:36:01', '2014-01-09 17:38:16'), (""Guy's Gyros"", '2014-01-18 20:14:01', '2014-01-18 20:18:03')]"
Felix Resumir,Axel Calzas,1,"[(""Brew've Been Served"", '2014-01-09 19:15:01', '2014-01-09 19:16:10')]"
Felix Resumir,Bertrand Ovan,2,"[(""Guy's Gyros"", '2014-01-06 17:22:42', '2014-01-06 17:26:16'), (""Guy's Gyros"", '2014-01-07 17:20:01', '2014-01-07 17:24:16')]"
Felix Resumir,Birgitta Frente,2,"[(""Guy's Gyros"", '2014-01-13 17:39:01', '2014-01-13 17:40:39'), (""Guy's Gyros"", '2014-01-16 17:25:01', '2014-01-16 17:25:39')]"
Felix Resumir,Brand Tempestad,8,"[(""Katerina's Café"", '2014-01-16 07:35:01', '2014-01-16 07:37:23'), (""Katerina's Café"", '2014-01-17 07:40:01', '2014-01-17 07:40:53'), (""Guy's Gyros"", '2014-01-07 17:20:01', '2014-01-07 17:24:16'), (""Guy's Gyros"", '2014-01-07 20:21:01', '2014-01-07 20:21:23'), (""Guy's Gyros"", '2014-01-14 17:30:01', '2014-01-14 17:30:38'), (""Guy's Gyros"", '2014-01-16 20:15:01', '2014-01-16 20:15:58'), (""Guy's Gyros"", '2014-01-17 17:41:01', '2014-01-17 17:43:16'), (""Brew've Been Served"", '2014-01-16 18:49:01', '2014-01-16 18:49:58')]"
Felix Resumir,Felix Balas,1,"[('Roberts and Sons', '2014-01-16 12:14:01', '2014-01-16 12:21:26')]"
Felix Resumir,Hennie Osvaldo,5,"[(""Guy's Gyros"", '2014-01-07 17:23:01', '2014-01-07 17:24:16'), (""Guy's Gyros"", '2014-01-10 17:29:01', '2014-01-10 17:31:39'), (""Guy's Gyros"", '2014-01-13 17:39:01', '2014-01-13 17:40:39'), (""Guy's Gyros"", '2014-01-14 17:33:01', '2014-01-14 17:34:16'), (""Guy's Gyros"", '2014-01-17 17:39:01', '2014-01-17 17:43:16')]"
Felix Resumir,Hideki Cocinaro,2,"[('Roberts and Sons', '2014-01-11 13:01:01', '2014-01-11 13:02:07'), ('Roberts and Sons', '2014-01-16 12:17:01', '2014-01-16 12:22:17')]"
Felix Resumir,Inga Ferro,4,"[(""Katerina's Café"", '2014-01-07 07:37:01', '2014-01-07 07:39:23'), (""Katerina's Café"", '2014-01-09 07:46:01', '2014-01-09 07:48:23'), (""Katerina's Café"", '2014-01-17 07:40:01', '2014-01-17 07:40:36'), (""Brew've Been Served"", '2014-01-07 18:37:01', '2014-01-07 18:37:05')]"
Felix Resumir,Ingrid Barranco,1,"[('Roberts and Sons', '2014-01-15 12:19:01', '2014-01-15 12:19:17')]"
Felix Resumir,Isande Borrasca,1,"[(""Guy's Gyros"", '2014-01-18 20:14:01', '2014-01-18 20:18:03')]"
Felix Resumir,Kanon Herrero,2,"[(""Guy's Gyros"", '2014-01-08 17:41:01', '2014-01-08 17:43:42'), (""Guy's Gyros"", '2014-01-17 17:42:01', '2014-01-17 17:43:16')]"
Felix Resumir,Kare Orilla,2,"[('Roberts and Sons', '2014-01-15 12:19:01', '2014-01-15 12:23:17'), ('Roberts and Sons', '2014-01-16 12:20:01', '2014-01-16 12:22:17')]"
Felix Resumir,Lidelse Dedos,4,"[(""Katerina's Café"", '2014-01-06 12:27:01', '2014-01-06 12:27:23'), (""Guy's Gyros"", '2014-01-08 17:43:01', '2014-01-08 17:45:16'), (""Guy's Gyros"", '2014-01-09 17:34:01', '2014-01-09 17:38:16'), (""Guy's Gyros"", '2014-01-17 17:40:01', '2014-01-17 17:43:16')]"
Felix Resumir,Linnea Bergen,1,"[(""Guy's Gyros"", '2014-01-17 17:42:01', '2014-01-17 17:43:16')]"
Felix Resumir,Loreto Bodrogi,4,"[(""Katerina's Café"", '2014-01-06 07:46:01', '2014-01-06 07:46:23'), (""Katerina's Café"", '2014-01-16 07:35:01', '2014-01-16 07:36:36'), ('Roberts and Sons', '2014-01-18 12:54:01', '2014-01-18 13:01:45'), (""Brew've Been Served"", '2014-01-17 12:34:01', '2014-01-17 12:36:51')]"
Felix Resumir,Lucas Alcazar,1,"[('Roberts and Sons', '2014-01-15 12:23:01', '2014-01-15 12:27:26')]"
Felix Resumir,Marin Onda,1,"[('Roberts and Sons', '2014-01-11 12:52:01', '2014-01-11 12:56:32')]"
Felix Resumir,Minke Mies,5,"[(""Katerina's Café"", '2014-01-06 07:44:01', '2014-01-06 07:44:53'), (""Katerina's Café"", '2014-01-09 07:46:01', '2014-01-09 07:46:53'), (""Katerina's Café"", '2014-01-15 07:46:01', '2014-01-15 07:47:53'), (""Guy's Gyros"", '2014-01-08 17:44:01', '2014-01-08 17:45:16'), (""Guy's Gyros"", '2014-01-17 17:42:01', '2014-01-17 17:43:16')]"
Felix Resumir,Nils Calixto,1,"[('Roberts and Sons', '2014-01-18 12:54:01', '2014-01-18 12:55:05')]"
Felix Resumir,Stenig Fusil,1,"[(""Brew've Been Served"", '2014-01-11 18:52:01', '2014-01-11 18:52:47')]"
Felix Resumir,Sven Flecha,6,"[(""Katerina's Café"", '2014-01-10 07:38:01', '2014-01-10 07:40:23'), ('Roberts and Sons', '2014-01-15 12:19:01', '2014-01-15 12:22:17'), ('Roberts and Sons', '2014-01-16 12:14:01', '2014-01-16 12:20:26'), (""Guy's Gyros"", '2014-01-14 17:34:01', '2014-01-14 17:34:16'), (""Brew've Been Served"", '2014-01-08 19:23:01', '2014-01-08 19:23:23'), (""Brew've Been Served"", '2014-01-11 18:52:01', '2014-01-11 18:53:10')]"
Felix Resumir,Varja Lagos,3,"[(""Katerina's Café"", '2014-01-06 07:44:01', '2014-01-06 07:45:23'), (""Guy's Gyros"", '2014-01-10 17:30:01', '2014-01-10 17:33:16'), (""Guy's Gyros"", '2014-01-14 17:30:01', '2014-01-14 17:30:16')]"
Felix Resumir,Vira Frente,1,"[('Roberts and Sons', '2014-01-15 12:19:01', '2014-01-15 12:19:26')]"
Felix Resumir,Willem Vasco-Pais,1,"[(""Albert's Fine Clothing"", '2014-01-10 12:17:01', '2014-01-10 12:23:27')]"
Gustav Cazar,Ada Campo-Corrente,2,"[(""Albert's Fine Clothing"", '2014-01-18 18:21:01', '2014-01-18 18:21:45'), (""Albert's Fine Clothing"", '2014-01-19 18:20:01', '2014-01-19 18:21:45')]"
Gustav Cazar,Adra Nubarron,1,"[('Roberts and Sons', '2014-01-07 12:19:01', '2014-01-07 12:26:26')]"
Gustav Cazar,Axel Calzas,10,"[(""Albert's Fine Clothing"", '2014-01-12 18:33:01', '2014-01-12 18:34:15'), (""Albert's Fine Clothing"", '2014-01-19 18:20:01', '2014-01-19 18:21:44'), ('White Building', '2014-01-06 17:18:01', '2014-01-06 17:25:27'), ('White Building', '2014-01-08 17:11:01', '2014-01-08 17:19:57'), ('White Building', '2014-01-09 17:26:01', '2014-01-09 17:33:57'), ('White Building', '2014-01-13 17:31:01', '2014-01-13 17:36:57'), ('White Building', '2014-01-14 17:20:01', '2014-01-14 17:25:27'), ('White Building', '2014-01-15 20:32:01', '2014-01-15 20:33:13'), ('White Building', '2014-01-16 17:19:01', '2014-01-16 17:29:27'), ('White Building', '2014-01-17 17:22:01', '2014-01-17 17:22:57')]"
Gustav Cazar,Birgitta Frente,2,"[('Ouzeri Elian', '2014-01-10 12:20:01', '2014-01-10 12:20:05'), ('White Building', '2014-01-10 19:11:01', '2014-01-10 19:12:00')]"
Gustav Cazar,Brand Tempestad,1,"[('Roberts and Sons', '2014-01-07 12:18:01', '2014-01-07 12:25:17')]"
Gustav Cazar,Edvard Vann,1,"[(""Albert's Fine Clothing"", '2014-01-06 12:14:01', '2014-01-06 12:17:27')]"
Gustav Cazar,Elsa Orilla,3,"[(""Albert's Fine Clothing"", '2014-01-15 12:17:01', '2014-01-15 12:25:27'), ('White Building', '2014-01-13 17:26:01', '2014-01-13 17:26:41'), ('White Building', '2014-01-15 17:35:01', '2014-01-15 17:39:59')]"
Gustav Cazar,Felix Balas,3,"[(""Albert's Fine Clothing"", '2014-01-19 18:21:01', '2014-01-19 18:22:13'), ('White Building', '2014-01-14 17:29:01', '2014-01-14 17:30:57'), ('White Building', '2014-01-16 17:29:01', '2014-01-16 17:29:57')]"
Gustav Cazar,Hennie Osvaldo,1,"[(""Albert's Fine Clothing"", '2014-01-15 12:25:01', '2014-01-15 12:26:27')]"
Gustav Cazar,Inga Ferro,1,"[('Roberts and Sons', '2014-01-07 12:18:01', '2014-01-07 12:26:26')]"
